Category,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars 
2,Eight,1851,July,"July,1851",105,,
2,Five,1851,June,"June,1851",105,,
3,Mobile,1851,July,"July,1851",115,300,
1,One,1851,June,"June,1851",90,1,
3,San Agapito,1851,June,"June,1851",115,23,
1,Two,1851,July,"July,1851",90,0,
2,Four,1852,September,"September,1852",105,4," $20,000.00 "
3,Coastal,1852,September,"September,1852",125,26,
1,Four,1852,September,"September,1852",90,0,
1,Hurricane San Lorenzo of 1852,1852,September,"September,1852",80,,
3,Middle Gulf Coast,1852,September,"September,1852",125,,
2,One,1852,September,"September,1852",105,,
1,Three,1852,September,"September,1852",80,0,
2,Two,1852,September,"September,1852",105,0,
3,Unnamed,1852,September,"September,1852",115,,
1,Six,1853,September,"September,1853",80,0,
3,Southeastern,1853,September,"September,1853",115,4,
2,Two,1853,September,"September,1853",105,424,
2,Four,1854,June,"June,1854",105,0,
1,One,1854,June,"June,1854",80,0,
3,Unnamed,1854,June,"June,1854",125,,
3,San Narciso,1855,August,"August,1855",125,811,
2,Three,1855,August,"August,1855",105,0,
1,Three,1855,August,"August,1855",80,0,
4,Last Island,1856,August,"August,1856",,,
3,New England,1856,August,"August,1856",115,12,
2,One,1856,September,"September,1856",105,0,
2,Six,1856,August,"August,1856",105,0,
1,Six,1856,September,"September,1856",80,0,
1,Two,1856,August,"August,1856",80,0,
3,Unnamed,1856,September,"September,1856",125,,
3,San Marcos,1857,September,"September,1857",115,1200,
1,Three,1857,September,"September,1857",80,0,
2,Two,1857,September,"September,1857",105,0,
3,Central Florida,1858,September,"September,1858",115,26,
1,Five,1858,September,"September,1858",90,0,
2,Four,1858,June,"June,1858",105,0,
1,Four,1858,September,"September,1858",90,0,
2,Four,1858,September,"September,1858",100,,
3,Nova Scotia,1858,September,"September,1858",115,600,
1,One,1858,June,"June,1858",80,0,
3,Santa Juana,1858,August,"August,1858",115,27,
2,Six,1858,September,"September,1858",105,,
2,Two,1858,August,"August,1858",100,0,
1,Two,1858,August,"August,1858",80,0,
3,Unnamed,1858,June,"June,1858",115,,
1,Eight,1859,October,"October,1859",90,,
1,Five,1859,September,"September,1859",80,2,
3,Indianola,1859,September,"September,1859",115,829,
2,One,1859,September,"September,1859",105,0,
3,San Felipe,1859,September,"September,1859",115,21,
2,Seven,1859,September,"September,1859",105,0,
1,Three,1859,September,"September,1859",80,0,
2,Three,1859,October,"October,1859",105,0,
3,Unnamed,1859,October,"October,1859",115,,
1,Three,1860,September,"September,1860",80,0,
2,Two,1860,September,"September,1860",105,0,
3,Unnamed,1860,September,"September,1860",115,84,
1,Five,1861,September,"September,1861",80,0,
1,Four,1861,September,"September,1861",80,0,
2,One,1861,September,"September,1861",105,0,
1,The Expedition Hurricane of 1861,1861,November,"November,1861",80,0,
2,Three,1861,August,"August,1861",105,0,
2,Three,1861,November,"November,1861",105,0,
1,Two,1861,August,"August,1861",90,0,
2,Two,1861,September,"September,1861",105,0,
3,Unnamed,1861,September,"September,1861",115,46,
3,Unnamed,1861,November,"November,1861",125,9,
3,Unnamed,1861,September,"September,1861",125,1,
3,Unnamed,1861,August,"August,1861",115,,
1,Five,1862,October,"October,1862",80,3,
2,Four,1862,October,"October,1862",105,0,
3,Unnamed,1862,October,"October,1862",125,,
1,Five,1863,September,"September,1863",80,0,
2,Four,1863,September,"September,1863",105,325,
3,Unnamed,1863,September,"September,1863",125,106,
2,Seven,1864,July,"July,1864",105,1," $300,000.00 "
1,Five,1864,October,"October,1864",80,0,
1,One,1864,July,"July,1864",80,0,
2,One,1864,August,"August,1864",105,,
1,Three,1864,August,"August,1864",80,0,
2,Two,1864,October,"October,1864",105,,
3,Unnamed,1864,August,"August,1864",120,4,
3,Unnamed,1864,October,"October,1864",115,,
3,Unnamed,1864,July,"July,1864",125,,
2,Four,1866,September,"September,1866",105,8,
1,Four,1866,September,"September,1866",80,0,
1,Three,1866,September,"September,1866",80,0,
2,Two,1866,September,"September,1866",105,13,
3,Unnamed,1866,September,"September,1866",120,150,
3,Unnamed,1866,September,"September,1866",120,,
1,Four,1867,August,"August,1867",80,0,
1,One,1867,June,"June,1867",80,0,
2,Six,1867,August,"August,1867",105,0,
2,Three,1867,June,"June,1867",105,0,
3,Unnamed,1867,August,"August,1867",125,12,
3,Unnamed,1867,June,"June,1867",120,,
1,Five,1869,September,"September,1869",80,0,
2,Seven,1869,September,"September,1869",105,,
3,Unnamed,1869,September,"September,1869",125,921,
1,Eight,1870,October,"October,1870",80,0,
1,Eleven,1870,October,"October,1870",80,0,
1,Five,1870,September,"September,1870",90,0,
2,Four,1870,October,"October,1870",105,0,
3,Midnight Storm,1870,October,"October,1870",115,34,
2,One,1870,July,"July,1870",105,2,
2,One,1870,October,"October,1870",105,0,
3,San Magín,1870,September,"September,1870",125,703,
3,San Roque,1870,October,"October,1870",120,4,
3,Sea Islands,1870,October,"October,1870",120,1000,
1,Seven,1870,October,"October,1870",80,0,
1,The Mobile Hurricane of 1870,1870,July,"July,1870",80,,
2,Three,1870,September,"September,1870",105,0,
2,Two,1870,October,"October,1870",105,,
3,Unnamed,1870,July,"July,1870",120,10,
1,Eight,1871,October,"October,1871",80,0,
1,Seven,1871,September,"September,1871",80,0,
2,Seven,1871,September,"September,1871",105,0,
1,Six,1871,September,"September,1871",80,0,
2,Ten,1871,September,"September,1871",105,37,
2,Two,1871,October,"October,1871",105,0,
3,Unnamed,1871,October,"October,1871",120,200,
3,Unnamed,1871,September,"September,1871",120,28,
3,Unnamed,1871,September,"September,1871",115,1,
3,Cedar Keys,1872,October,"October,1872",125,202,
1,Five,1872,October,"October,1872",80,0,
2,Five,1872,October,"October,1872",105,0,
1,Four,1872,September,"September,1872",80,0,
2,Nine,1872,September,"September,1872",105,52,
3,San Ramón,1872,September,"September,1872",115,,
2,Ten,1872,September,"September,1872",105,0,
1,Three,1872,September,"September,1872",80,0,
3,Unnamed,1872,September,"September,1872",120,9,
1,Three,1873,September,"September,1873",80,0,
2,Two,1873,September,"September,1873",105,0,
3,Unnamed,1873,September,"September,1873",115,17,
2,Five,1874,August,"August,1874",105,0,
2,Four,1874,September,"September,1874",105,0,
2,Seven,1874,August,"August,1874",105,0,
1,Six,1874,September,"September,1874",90,0,
1,Three,1874,August,"August,1874",90,0,
1,Two,1874,August,"August,1874",80,0,
3,Unnamed,1874,August,"August,1874",120,149,
3,Unnamed,1874,September,"September,1874",120,5,
3,Unnamed,1874,August,"August,1874",120,,
2,Five,1875,September,"September,1875",105,9,
2,Four,1875,August,"August,1875",105,0,
1,One,1875,August,"August,1875",80,0,
1,Six,1875,October,"October,1875",80,0,
2,Six,1875,October,"October,1875",105,0,
1,Two,1875,September,"September,1875",80,0,
3,Unnamed,1875,September,"September,1875",120,240,
3,Unnamed,1875,August,"August,1875",120,134,
3,Unnamed,1875,October,"October,1875",120,19,
